lg_nw,Tsh,t_ox,Gauss_doping,index
9.72,45.0,4.5,1000000000000000.0,0.0
9.72,45.0,4.5,1000000000000000.0,1.0
9.72,45.0,4.5,1000000000000000.0,2.0
9.72,45.0,4.5,1000000000000000.0,3.0
9.72,45.0,4.5,1000000000000000.0,4.0
9.72,45.0,4.5,1000000000000000.0,5.0
9.72,45.0,4.5,1000000000000000.0,6.0
9.72,45.0,4.5,1000000000000000.0,7.0
9.72,45.0,4.5,1000000000000000.0,8.0
9.72,45.0,4.5,1000000000000000.0,9.0
11.88,55.0,5.5,1000000000000000.0,10.0
11.88,55.0,5.5,1000000000000000.0,11.0
11.88,55.0,5.5,1000000000000000.0,12.0
11.88,55.0,5.5,1000000000000000.0,13.0
11.88,55.0,5.5,1000000000000000.0,14.0
11.88,55.0,5.5,1000000000000000.0,15.0
11.88,55.0,5.5,1000000000000000.0,16.0
11.88,55.0,5.5,1000000000000000.0,17.0
11.88,55.0,5.5,1000000000000000.0,18.0
11.88,55.0,5.5,1000000000000000.0,19.0
12.96,60.0,6.0,1000000000000000.0,20.0
12.96,60.0,6.0,1000000000000000.0,21.0
12.96,60.0,6.0,1000000000000000.0,22.0
12.96,60.0,6.0,1000000000000000.0,23.0
12.96,60.0,6.0,1000000000000000.0,24.0
12.96,60.0,6.0,1000000000000000.0,25.0
12.96,60.0,6.0,1000000000000000.0,26.0
12.96,60.0,6.0,1000000000000000.0,27.0
12.96,60.0,6.0,1000000000000000.0,28.0
12.96,60.0,6.0,1000000000000000.0,29.0
14.04,65.0,6.5,1000000000000000.0,30.0
14.04,65.0,6.5,1000000000000000.0,31.0
14.04,65.0,6.5,1000000000000000.0,32.0
14.04,65.0,6.5,1000000000000000.0,33.0
14.04,65.0,6.5,1000000000000000.0,34.0
14.04,65.0,6.5,1000000000000000.0,35.0
14.04,65.0,6.5,1000000000000000.0,36.0
14.04,65.0,6.5,1000000000000000.0,37.0
14.04,65.0,6.5,1000000000000000.0,38.0
14.04,65.0,6.5,1000000000000000.0,39.0
10.8,50.0,5.0,1500000000000000.0,40.0
10.8,50.0,5.0,1500000000000000.0,41.0
10.8,50.0,5.0,1500000000000000.0,42.0
10.8,50.0,5.0,1500000000000000.0,43.0
10.8,50.0,5.0,1500000000000000.0,44.0
10.8,50.0,5.0,1500000000000000.0,45.0
10.8,50.0,5.0,1500000000000000.0,46.0
10.8,50.0,5.0,1500000000000000.0,47.0
10.8,50.0,5.0,1500000000000000.0,48.0
10.8,50.0,5.0,1500000000000000.0,49.0
10.8,50.0,5.0,100000000000000.0,50.0
10.8,50.0,5.0,100000000000000.0,51.0
10.8,50.0,5.0,100000000000000.0,52.0
10.8,50.0,5.0,100000000000000.0,53.0
10.8,50.0,5.0,100000000000000.0,54.0
10.8,50.0,5.0,100000000000000.0,55.0
10.8,50.0,5.0,100000000000000.0,56.0
10.8,50.0,5.0,100000000000000.0,57.0
10.8,50.0,5.0,100000000000000.0,58.0
10.8,50.0,5.0,100000000000000.0,59.0
12.0,50.0,5.0,1e+16,60.0
12.0,50.0,5.0,1e+16,61.0
12.0,50.0,5.0,1e+16,62.0
12.0,50.0,5.0,1e+16,63.0
12.0,50.0,5.0,1e+16,64.0
12.0,50.0,5.0,1e+16,65.0
12.0,50.0,5.0,1e+16,66.0
12.0,50.0,5.0,1e+16,67.0
12.0,50.0,5.0,1e+16,68.0
12.0,50.0,5.0,1e+16,69.0
12.0,50.0,5.0,1e+17,70.0
12.0,50.0,5.0,1e+17,71.0
12.0,50.0,5.0,1e+17,72.0
12.0,50.0,5.0,1e+17,73.0
12.0,50.0,5.0,1e+17,74.0
12.0,50.0,5.0,1e+17,75.0
12.0,50.0,5.0,1e+17,76.0
12.0,50.0,5.0,1e+17,77.0
12.0,50.0,5.0,1e+17,78.0
12.0,50.0,5.0,1e+17,79.0
10.8,50.0,5.0,1e+18,80.0
10.8,50.0,5.0,1e+18,81.0
10.8,50.0,5.0,1e+18,82.0
10.8,50.0,5.0,1e+18,83.0
10.8,50.0,5.0,1e+18,84.0
10.8,50.0,5.0,1e+18,85.0
10.8,50.0,5.0,1e+18,86.0
10.8,50.0,5.0,1e+18,87.0
10.8,50.0,5.0,1e+18,88.0
10.8,50.0,5.0,1e+18,89.0
10.8,50.0,5.0,1e+19,90.0
10.8,50.0,5.0,1e+19,91.0
10.8,50.0,5.0,1e+19,92.0
10.8,50.0,5.0,1e+19,93.0
10.8,50.0,5.0,1e+19,94.0
10.8,50.0,5.0,1e+19,95.0
10.8,50.0,5.0,1e+19,96.0
10.8,50.0,5.0,1e+19,97.0
10.8,50.0,5.0,1e+19,98.0
10.8,50.0,5.0,1e+19,99.0
10.8,50.0,5.0,1000000000000000.0,100.0
10.8,50.0,5.0,1000000000000000.0,101.0
10.8,50.0,5.0,1000000000000000.0,102.0
10.8,50.0,5.0,1000000000000000.0,103.0
10.8,50.0,5.0,1000000000000000.0,104.0
10.8,50.0,5.0,1000000000000000.0,105.0
10.8,50.0,5.0,1000000000000000.0,106.0
10.8,50.0,5.0,1000000000000000.0,107.0
10.8,50.0,5.0,1000000000000000.0,108.0
10.8,50.0,5.0,1000000000000000.0,109.0
10.8,50.0,5.0,2000000000000000.0,110.0
10.8,50.0,5.0,2000000000000000.0,111.0
10.8,50.0,5.0,2000000000000000.0,112.0
10.8,50.0,5.0,2000000000000000.0,113.0
10.8,50.0,5.0,2000000000000000.0,114.0
10.8,50.0,5.0,2000000000000000.0,115.0
10.8,50.0,5.0,2000000000000000.0,116.0
10.8,50.0,5.0,2000000000000000.0,117.0
10.8,50.0,5.0,2000000000000000.0,118.0
10.8,50.0,5.0,2000000000000000.0,119.0
10.8,50.0,5.0,3e+17,120.0
10.8,50.0,5.0,3e+17,121.0
10.8,50.0,5.0,3e+17,122.0
10.8,50.0,5.0,3e+17,123.0
10.8,50.0,5.0,3e+17,124.0
10.8,50.0,5.0,3e+17,125.0
10.8,50.0,5.0,3e+17,126.0
10.8,50.0,5.0,3e+17,127.0
10.8,50.0,5.0,3e+17,128.0
10.8,50.0,5.0,3e+17,129.0
10.8,50.0,5.0,3e+18,130.0
10.8,50.0,5.0,3e+18,131.0
10.8,50.0,5.0,3e+18,132.0
10.8,50.0,5.0,3e+18,133.0
10.8,50.0,5.0,3e+18,134.0
10.8,50.0,5.0,3e+18,135.0
10.8,50.0,5.0,3e+18,136.0
10.8,50.0,5.0,3e+18,137.0
10.8,50.0,5.0,3e+18,138.0
10.8,50.0,5.0,3e+18,139.0
10.8,50.0,5.0,3e+19,140.0
10.8,50.0,5.0,3e+19,141.0
10.8,50.0,5.0,3e+19,142.0
10.8,50.0,5.0,3e+19,143.0
10.8,50.0,5.0,3e+19,144.0
10.8,50.0,5.0,3e+19,145.0
10.8,50.0,5.0,3e+19,146.0
10.8,50.0,5.0,3e+19,147.0
10.8,50.0,5.0,3e+19,148.0
10.8,50.0,5.0,3e+19,149.0
10.8,50.0,5.0,500000000000000.0,150.0
10.8,50.0,5.0,500000000000000.0,151.0
10.8,50.0,5.0,500000000000000.0,152.0
10.8,50.0,5.0,500000000000000.0,153.0
10.8,50.0,5.0,500000000000000.0,154.0
10.8,50.0,5.0,500000000000000.0,155.0
10.8,50.0,5.0,500000000000000.0,156.0
10.8,50.0,5.0,500000000000000.0,157.0
10.8,50.0,5.0,500000000000000.0,158.0
10.8,50.0,5.0,500000000000000.0,159.0
10.8,50.0,5.0,5000000000000000.0,160.0
10.8,50.0,5.0,5000000000000000.0,161.0
10.8,50.0,5.0,5000000000000000.0,162.0
10.8,50.0,5.0,5000000000000000.0,163.0
10.8,50.0,5.0,5000000000000000.0,164.0
10.8,50.0,5.0,5000000000000000.0,165.0
10.8,50.0,5.0,5000000000000000.0,166.0
10.8,50.0,5.0,5000000000000000.0,167.0
10.8,50.0,5.0,5000000000000000.0,168.0
10.8,50.0,5.0,5000000000000000.0,169.0
10.8,50.0,5.0,5e+16,170.0
10.8,50.0,5.0,5e+16,171.0
10.8,50.0,5.0,5e+16,172.0
10.8,50.0,5.0,5e+16,173.0
10.8,50.0,5.0,5e+16,174.0
10.8,50.0,5.0,5e+16,175.0
10.8,50.0,5.0,5e+16,176.0
10.8,50.0,5.0,5e+16,177.0
10.8,50.0,5.0,5e+16,178.0
10.8,50.0,5.0,5e+16,179.0
10.8,50.0,5.0,5e+18,180.0
10.8,50.0,5.0,5e+18,181.0
10.8,50.0,5.0,5e+18,182.0
10.8,50.0,5.0,5e+18,183.0
10.8,50.0,5.0,5e+18,184.0
10.8,50.0,5.0,5e+18,185.0
10.8,50.0,5.0,5e+18,186.0
10.8,50.0,5.0,5e+18,187.0
10.8,50.0,5.0,5e+18,188.0
10.8,50.0,5.0,5e+18,189.0
10.8,50.0,5.0,800000000000000.0,190.0
10.8,50.0,5.0,800000000000000.0,191.0
10.8,50.0,5.0,800000000000000.0,192.0
10.8,50.0,5.0,800000000000000.0,193.0
10.8,50.0,5.0,800000000000000.0,194.0
10.8,50.0,5.0,800000000000000.0,195.0
10.8,50.0,5.0,800000000000000.0,196.0
10.8,50.0,5.0,800000000000000.0,197.0
10.8,50.0,5.0,800000000000000.0,198.0
10.8,50.0,5.0,800000000000000.0,199.0
10.8,50.0,5.0,8e+16,200.0
10.8,50.0,5.0,8e+16,201.0
10.8,50.0,5.0,8e+16,202.0
10.8,50.0,5.0,8e+16,203.0
10.8,50.0,5.0,8e+16,204.0
10.8,50.0,5.0,8e+16,205.0
10.8,50.0,5.0,8e+16,206.0
10.8,50.0,5.0,8e+16,207.0
10.8,50.0,5.0,8e+16,208.0
10.8,50.0,5.0,8e+16,209.0
10.8,50.0,5.0,8e+17,210.0
10.8,50.0,5.0,8e+17,211.0
10.8,50.0,5.0,8e+17,212.0
10.8,50.0,5.0,8e+17,213.0
10.8,50.0,5.0,8e+17,214.0
10.8,50.0,5.0,8e+17,215.0
10.8,50.0,5.0,8e+17,216.0
10.8,50.0,5.0,8e+17,217.0
10.8,50.0,5.0,8e+17,218.0
10.8,50.0,5.0,8e+17,219.0
