gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1,3.7847786e-10
0.0025,1,3.9572548e-10
0.0061833333,1,4.2260961e-10
0.011659222,1,4.6605036e-10
0.019800044,1,5.3911397e-10
0.031902732,1,6.6978416e-10
0.049895394,1,9.2594905e-10
0.076644486,1,1.5029254e-9
0.11605482,1,3.0860782e-9
0.16605482,1,7.7464095e-9
0.21605482,1,1.9475213e-8
0.26605482,1,4.8505898e-8
0.31605482,1,1.1806447e-7
0.36605482,1,2.7578483e-7
0.41605482,1,6.0539517e-7
0.46605482,1,1.2261854e-6
0.5,1,1.8804539e-6

