gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1,3.1633351e-9
0.0025,1,3.3691071e-9
0.0061833333,1,3.6976933e-9
0.011659222,1,4.2482257e-9
0.019800044,1,5.22667e-9
0.031902732,1,7.1268708e-9
0.049734025,1,1.1291625e-8
0.076005464,1,2.2347783e-8
0.11436177,1,6.0748222e-8
0.16436177,1,2.2003779e-7
0.21436177,1,7.4140371e-7
0.26436177,1,2.1362119e-6
0.31436177,1,4.9410153e-6
0.36436177,1,9.2720535e-6
0.41436177,1,1.4844222e-5
0.46436177,1,2.1395485e-5
0.5,1,2.6542922e-5

