gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,4.8189701e-7
0.0025,3.5,4.9486653e-7
0.0061833333,3.5,5.1460636e-7
0.011659222,3.5,5.4540507e-7
0.019800044,3.5,5.9461434e-7
0.031902732,3.5,6.761836e-7
0.049895394,3.5,8.189953e-7
0.076644486,3.5,1.0914233e-6
0.11605482,3.5,1.6812319e-6
0.16605482,3.5,2.9586488e-6
0.21605482,3.5,5.2122393e-6
0.26605482,3.5,8.8259846e-6
0.31605482,3.5,1.3896156e-5
0.36605482,3.5,2.0214715e-5
0.41605482,3.5,2.7488418e-5
0.46605482,3.5,3.5492943e-5
0.5,3.5,4.126754e-5

