gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3,2.0011507e-7
0.0025,3,2.0631906e-7
0.0061833333,3,2.1582653e-7
0.011659222,3,2.3081377e-7
0.019800044,3,2.5513717e-7
0.031902732,3,2.96399e-7
0.049895394,3,3.7146728e-7
0.076644486,3,5.2349157e-7
0.11605482,3,8.852945e-7
0.16605482,3,1.7760136e-6
0.21605482,3,3.5517044e-6
0.26605482,3,6.665782e-6
0.31605482,3,1.1281141e-5
0.36605482,3,1.7225901e-5
0.41605482,3,2.418706e-5
0.46605482,3,3.1931029e-5
0.5,3,3.7553907e-5

