gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2,2.3065644e-8
0.0025,2,2.4187701e-8
0.0061833333,2,2.5950304e-8
0.011659222,2,2.8833724e-8
0.019800044,2,3.3782038e-8
0.031902732,2,4.2915812e-8
0.049895394,2,6.1769565e-8
0.076404584,2,1.0737226e-7
0.11546146,2,2.486334e-7
0.16546146,2,7.2862247e-7
0.21546146,2,1.9748353e-6
0.26546146,2,4.5779644e-6
0.31546146,2,8.7987458e-6
0.36546146,2,1.4409065e-5
0.41546146,2,2.1126214e-5
0.46546146,2,2.8753497e-5
0.5,2,3.4453015e-5

