gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,0.5,8.9327447e-10
0.0025,0.5,9.6004017e-10
0.0061833333,0.5,1.0679356e-9
0.011659222,0.5,1.2520803e-9
0.019800044,0.5,1.589259e-9
0.031794187,0.5,2.2707786e-9
0.049465559,0.5,3.8776891e-9
0.075265762,0.5,8.4597936e-9
0.11327806,0.5,2.6295393e-8
0.16327806,0.5,1.1255478e-7
0.21327806,0.5,4.3667482e-7
0.26327806,0.5,1.4310537e-6
0.31327806,0.5,3.7059542e-6
0.36327806,0.5,7.532537e-6
0.41327806,0.5,1.2661438e-5
0.46327806,0.5,1.8789175e-5
0.5,0.5,2.3770882e-5

