gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,5,6.7018544e-6
0.0025,5,6.7928752e-6
0.0061833333,5,6.9286085e-6
0.011659222,5,7.1340397e-6
0.019800044,5,7.4476807e-6
0.031902732,5,7.9328225e-6
0.049895394,5,8.6983933e-6
0.076644486,5,9.945464e-6
0.11605482,5,1.2070787e-5
0.16605482,5,1.5423095e-5
0.21605482,5,1.975824e-5
0.26605482,5,2.525669e-5
0.31605482,5,3.1905376e-5
0.36605482,5,3.9518298e-5
0.41605482,5,4.786945e-5
0.46605482,5,5.6770156e-5
0.5,5,6.3065244e-5

