lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
10.8,45.0,4.5,1000000000000000.0,0.0,0.5,9.065163859569257
10.8,45.0,4.5,1000000000000000.0,0.0025,0.5,9.03369240314109
10.8,45.0,4.5,1000000000000000.0,0.0061833333,0.5,8.987180484751276
10.8,45.0,4.5,1000000000000000.0,0.011659222,0.5,8.917675333784151
10.8,45.0,4.5,1000000000000000.0,0.019800044,0.5,8.813387791435257
10.8,45.0,4.5,1000000000000000.0,0.031794187,0.5,8.657187142723785
10.8,45.0,4.5,1000000000000000.0,0.049465559,0.5,8.423895929243093
10.8,45.0,4.5,1000000000000000.0,0.075265762,0.5,8.084719245345006
10.8,45.0,4.5,1000000000000000.0,0.11293406,0.5,7.595907147658931
10.8,45.0,4.5,1000000000000000.0,0.16293406,0.5,6.963232056865168
10.8,45.0,4.5,1000000000000000.0,0.21293406,0.5,6.372788396552965
10.8,45.0,4.5,1000000000000000.0,0.26293406,0.5,5.854826164106786
10.8,45.0,4.5,1000000000000000.0,0.31293406,0.5,5.438770446806421
10.8,45.0,4.5,1000000000000000.0,0.36293406,0.5,5.12855392148507
10.8,45.0,4.5,1000000000000000.0,0.41293406,0.5,4.901690134427073
10.8,45.0,4.5,1000000000000000.0,0.46293406,0.5,4.729537316982681
10.8,45.0,4.5,1000000000000000.0,0.5,0.5,4.626219357220768
10.8,45.0,4.5,1000000000000000.0,0.0,1.5,8.06682347546847
10.8,45.0,4.5,1000000000000000.0,0.0025,1.5,8.04424614865232
10.8,45.0,4.5,1000000000000000.0,0.0061833333,1.5,8.010815147180997
10.8,45.0,4.5,1000000000000000.0,0.011659222,1.5,7.960740786981313
10.8,45.0,4.5,1000000000000000.0,0.019800044,1.5,7.885485792163478
10.8,45.0,4.5,1000000000000000.0,0.031902732,1.5,7.771852925251399
10.8,45.0,4.5,1000000000000000.0,0.049895394,1.5,7.599221928536366
10.8,45.0,4.5,1000000000000000.0,0.076404584,1.5,7.337825694915608
10.8,45.0,4.5,1000000000000000.0,0.11546146,1.5,6.942051696381906
