lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
15.6,65.0,6.5,1000000000000000.0,0.0,4.5,6.028533581416837
15.6,65.0,6.5,1000000000000000.0,0.0025,4.5,6.0168553160955565
15.6,65.0,6.5,1000000000000000.0,0.0061833333,4.5,5.999706342516209
15.6,65.0,6.5,1000000000000000.0,0.011659222,4.5,5.974339428257828
15.6,65.0,6.5,1000000000000000.0,0.019800044,4.5,5.93691328673849
15.6,65.0,6.5,1000000000000000.0,0.031902732,4.5,5.881936028522296
15.6,65.0,6.5,1000000000000000.0,0.049895394,4.5,5.80173923636288
15.6,65.0,6.5,1000000000000000.0,0.076644486,4.5,5.686099323378634
15.6,65.0,6.5,1000000000000000.0,0.11605482,4.5,5.52405806481942
15.6,65.0,6.5,1000000000000000.0,0.16605482,4.5,5.3347919682130485
15.6,65.0,6.5,1000000000000000.0,0.21605482,4.5,5.16464718097346
15.6,65.0,6.5,1000000000000000.0,0.26605482,4.5,5.013517207956934
15.6,65.0,6.5,1000000000000000.0,0.31605482,4.5,4.880123967999577
15.6,65.0,6.5,1000000000000000.0,0.36605482,4.5,4.762778986132046
15.6,65.0,6.5,1000000000000000.0,0.41605482,4.5,4.659263400074689
15.6,65.0,6.5,1000000000000000.0,0.46605482,4.5,4.567697839251868
15.6,65.0,6.5,1000000000000000.0,0.5,4.5,4.511450552543727
